codigo_unico,asunto,descripcion,tipo_tramite,prioridad_real
YAU-HIST-100001,EMERGENCIA: Licencia de Funcionamiento por grietas profundas en los muros de carga,Fuga de agua masiva y riesgo de corto circuito en Callejón Jose Ignacio Godoy 91. Requiero intervención urgente por peligro inminente.,Licencia de Funcionamiento,Urgente
YAU-HIST-100002,EMERGENCIA: Licencia de Edificación por debilitamiento de vigas por humedad extrema,Se presenta una situación de emergencia por debilitamiento de vigas por humedad extrema en Calle de Amor Bueno 93. Existe un riesgo estructural inminente.,Licencia de Edificación,Urgente
YAU-HIST-100003,EMERGENCIA: Constancia de Posesión por filtraciones severas de agua en las columnas,Solicitud de inspección extraordinaria de seguridad en Paseo Simón Giménez 59 debido a grietas graves y amenaza de derrumbe.,Constancia de Posesión,Urgente
YAU-HIST-100004,EMERGENCIA: Licencia de Funcionamiento por hundimiento del suelo en el patio principal,Reporto peligro de colapso en Ronda Noé Lobo 63 debido a hundimiento del suelo en el patio principal. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-100005,EMERGENCIA: Constancia de Posesión por debilitamiento de vigas por humedad extrema,Reporto peligro de colapso en C. Cleto Palomar 59 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Constancia de Posesión,Urgente
YAU-HIST-100006,Trámite de Constancia de Posesión - Casos,Solicitud de licencia de edificación para ampliación de vivienda residencial en Paseo de Edelmiro Pinedo 9.,Constancia de Posesión,Media
YAU-HIST-100007,Urgente: Solicitud de Constancia de Posesión por riesgo,Se presenta una situación de emergencia por grietas profundas en los muros de carga en Avenida Artemio Goñi 41 Apt. 64 . Existe un riesgo estructural inminente.,Constancia de Posesión,Alta
YAU-HIST-100008,Urgente: Solicitud de Queja por Servicios por riesgo,Reporto peligro de colapso en Rambla de Raimundo Padilla 24 Puerta 2  debido a grietas profundas en los muros de carga. Solicito inspección de inmediato.,Queja por Servicios,Alta
YAU-HIST-100009,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por filtraciones severas de agua en las columnas,Solicitud de inspección extraordinaria de seguridad en Pasaje Reynaldo Lerma 135 debido a grietas graves y amenaza de derrumbe.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100010,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito información general sobre los planos catastrales de la zona de Alameda Salvador Leal 4.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100011,Trámite de Licencia de Funcionamiento - Todavía,Queja por servicios debido a fallas intermitentes en el alumbrado público de Cuesta Ruy Segarra 34 Apt. 88 .,Licencia de Funcionamiento,Media
YAU-HIST-100012,Consulta / Copia: Licencia de Funcionamiento,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-2291 presentado anteriormente.,Licencia de Funcionamiento,Baja
YAU-HIST-100013,Urgente: Solicitud de Constancia de Posesión por riesgo,Se solicita apoyo de inmediato por hundimiento del suelo en el patio principal que amenaza la seguridad pública en C. Rico Solé 148 Puerta 1 .,Constancia de Posesión,Alta
YAU-HIST-100014,Trámite de Inspección Técnica de Seguridad (ITSE) - N,Trámite regular para obtener la constancia de posesión del terreno denominado Via de Lázaro Royo 17 Puerta 4 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100015,EMERGENCIA: Licencia de Funcionamiento por deslizamiento de tierra en el talud colindante,Reporto peligro de colapso en Cañada Prudencia Vera 632 debido a deslizamiento de tierra en el talud colindante. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-100016,Consulta / Copia: Licencia de Funcionamiento,Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Alameda Amaya Aliaga 6.,Licencia de Funcionamiento,Baja
YAU-HIST-100017,Trámite de Inspección Técnica de Seguridad (ITSE) - Millones,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Calle Jose Angel Bermúdez 8 Apt. 82 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100018,Trámite de Licencia de Edificación - Fondo,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Callejón Belén Rocha 48 Puerta 4 .,Licencia de Edificación,Media
YAU-HIST-100019,Trámite de Inspección Técnica de Seguridad (ITSE) - Productos,Trámite regular para obtener la constancia de posesión del terreno denominado Pasadizo de Vito Carrillo 23 Piso 0 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100020,Trámite de Licencia de Funcionamiento - Razones,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Plaza Calisto Barral 11.,Licencia de Funcionamiento,Media
YAU-HIST-100021,Trámite de Constancia de Posesión - González,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Pasadizo Jordán Lopez 93 Apt. 99 .,Constancia de Posesión,Media
YAU-HIST-100022,Trámite de Queja por Servicios - Dios,Trámite regular para obtener la constancia de posesión del terreno denominado Ronda de Goyo Busquets 7.,Queja por Servicios,Media
YAU-HIST-100023,Urgente: Solicitud de Constancia de Posesión por riesgo,Fuga de agua masiva y riesgo de corto circuito en Pasaje de Rosario Balaguer 1 Piso 5 . Requiero intervención urgente por peligro inminente.,Constancia de Posesión,Alta
YAU-HIST-100024,Consulta / Copia: Licencia de Edificación,Solicito duplicado del certificado de habitabilidad de la propiedad en Glorieta Goyo Sanabria 36.,Licencia de Edificación,Baja
YAU-HIST-100025,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por debilitamiento de vigas por humedad extrema,Denuncia de riesgo estructural crítico en Urbanización de Sandra Benet 28 Apt. 80  por debilitamiento de vigas por humedad extrema. Se teme daño físico a las personas.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-100026,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Solicitud de inspección extraordinaria de seguridad en Rambla Santos Torralba 73 debido a grietas graves y amenaza de derrumbe.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-100027,EMERGENCIA: Queja por Servicios por grietas profundas en los muros de carga,Reporto peligro de colapso en C. Abilio Portero 57 debido a grietas profundas en los muros de carga. Solicito inspección de inmediato.,Queja por Servicios,Urgente
YAU-HIST-100028,Trámite de Constancia de Posesión - Porque,Trámite regular para obtener la constancia de posesión del terreno denominado Vial de Goyo Martin 90 Apt. 50 .,Constancia de Posesión,Media
YAU-HIST-100029,Trámite de Constancia de Posesión - Idea,Queja por servicios debido a fallas intermitentes en el alumbrado público de Calle Apolonia Bernat 21 Puerta 3 .,Constancia de Posesión,Media
YAU-HIST-100030,Trámite de Queja por Servicios - Sé,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Camino Dorotea Ariño 916.,Queja por Servicios,Media
YAU-HIST-100031,Trámite de Constancia de Posesión - Propios,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Alameda Jorge Lara 52 Piso 5 .,Constancia de Posesión,Media
YAU-HIST-100032,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Reporto peligro de colapso en Pasaje Ester Cabo 9 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Licencia de Funcionamiento,Alta
YAU-HIST-100033,Trámite de Queja por Servicios - Estas,Solicitud de licencia de edificación para ampliación de vivienda residencial en Vial de Paco Bayona 55.,Queja por Servicios,Media
YAU-HIST-100034,Trámite de Queja por Servicios - Esfuerzo,Solicitud de licencia de edificación para ampliación de vivienda residencial en Pasadizo de Adán Marí 3 Piso 1 .,Queja por Servicios,Media
YAU-HIST-100035,Urgente: Solicitud de Constancia de Posesión por riesgo,Denuncia de riesgo estructural crítico en Callejón Lope Galvez 53 por filtraciones severas de agua en las columnas. Se teme daño físico a las personas.,Constancia de Posesión,Alta
YAU-HIST-100036,Trámite de Licencia de Funcionamiento - Resulta,Queja por servicios debido a fallas intermitentes en el alumbrado público de Calle de Cirino Roda 10 Piso 2 .,Licencia de Funcionamiento,Media
YAU-HIST-100037,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito duplicado del certificado de habitabilidad de la propiedad en Pasaje Carmen Roma 201 Puerta 2 .,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100038,Trámite de Inspección Técnica de Seguridad (ITSE) - Mal,Solicitud de licencia de edificación para ampliación de vivienda residencial en Camino de Carmina Colomer 12.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-100039,Consulta / Copia: Licencia de Funcionamiento,Pedido de copias de actas de la junta vecinal de Acceso Humberto Iborra 6 Puerta 6  correspondientes al periodo anterior.,Licencia de Funcionamiento,Baja
YAU-HIST-100040,Consulta / Copia: Constancia de Posesión,Solicito información general sobre los planos catastrales de la zona de Rambla Nereida Elorza 30.,Constancia de Posesión,Baja
YAU-HIST-100041,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito información general sobre los planos catastrales de la zona de Urbanización de Juanito Cuervo 7 Apt. 73 .,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100042,Trámite de Licencia de Edificación - Fondo,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Acceso de Marcos Goñi 40.,Licencia de Edificación,Media
YAU-HIST-100043,Consulta / Copia: Constancia de Posesión,Solicito información general sobre los planos catastrales de la zona de Avenida de María Teresa Lorenzo 78 Puerta 8 .,Constancia de Posesión,Baja
YAU-HIST-100044,Urgente: Solicitud de Constancia de Posesión por riesgo,Se presenta una situación de emergencia por filtraciones severas de agua en las columnas en Via Saturnina Julián 59 Apt. 19 . Existe un riesgo estructural inminente.,Constancia de Posesión,Alta
YAU-HIST-100045,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito duplicado del certificado de habitabilidad de la propiedad en Alameda de Tristán Vidal 7 Puerta 3 .,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-100046,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Denuncia de riesgo estructural crítico en Ronda Abel Vizcaíno 735 Apt. 59  por filtraciones severas de agua en las columnas. Se teme daño físico a las personas.,Licencia de Funcionamiento,Alta
YAU-HIST-100047,Trámite de Licencia de Funcionamiento - Jóvenes,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Cañada Anunciación Mendoza 75 Puerta 4 .,Licencia de Funcionamiento,Media
YAU-HIST-100048,Consulta / Copia: Constancia de Posesión,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de constancia de posesión.,Constancia de Posesión,Baja
YAU-HIST-100049,Urgente: Solicitud de Constancia de Posesión por riesgo,Denuncia de riesgo estructural crítico en Cañada Luciano Gallo 69 Piso 7  por hundimiento del suelo en el patio principal. Se teme daño físico a las personas.,Constancia de Posesión,Alta
